City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Saldanha,ZA,2020-07-21 18:12:29,-33.01,17.94,59.0,87,0,5.82
108,Santa Cruz,BO,2020-07-21 18:12:24,-17.8,-63.17,86.0,58,40,26.4
109,Valente,BR,2020-07-21 18:12:30,-11.41,-39.46,80.94,49,58,15.52
110,Resistencia,AR,2020-07-21 18:12:30,-27.46,-58.98,91.0,35,100,14.99
111,Samarai,PG,2020-07-21 18:12:30,-10.62,150.67,75.96,82,59,16.46
112,Kodiak,US,2020-07-21 18:12:30,57.79,-152.41,68.0,56,1,6.93
113,Kyzyl-Suu,KG,2020-07-21 18:12:30,42.34,78.0,57.42,62,100,2.24
114,Berlevag,NO,2020-07-21 18:12:30,70.86,29.09,51.8,100,90,1.12
115,Hami,CN,2020-07-21 18:12:30,42.8,93.45,75.52,45,15,2.66
116,Hohhot,CN,2020-07-21 18:09:05,40.81,111.65,68.0,60,31,4.47
117,Zalantun,CN,2020-07-21 18:12:31,48.0,122.72,67.44,69,66,2.84
118,Jamestown,US,2020-07-21 18:12:31,42.1,-79.24,75.99,73,40,4.7
119,Tasiilaq,GL,2020-07-21 18:12:31,65.61,-37.64,48.2,66,20,11.41
120,Balkhash,KZ,2020-07-21 18:12:31,46.84,74.98,78.89,42,54,9.64
121,Pitimbu,BR,2020-07-21 18:12:31,-7.47,-34.81,82.4,61,20,16.11
122,Saint-Paul,RE,2020-07-21 18:12:31,-21.01,55.27,66.2,68,40,11.41
123,Nakamura,JP,2020-07-21 18:12:32,32.98,132.93,75.56,88,59,3.62
124,Broken Hill,AU,2020-07-21 18:12:32,-31.95,141.43,39.2,80,100,7.02
125,Tateyama,JP,2020-07-21 18:12:32,34.98,139.87,75.99,100,100,4.0
126,Ahuimanu,US,2020-07-21 18:12:32,21.44,-157.84,80.6,65,20,9.17
127,Baykit,RU,2020-07-21 18:12:32,61.67,96.37,52.77,73,89,2.93
128,Leningradskiy,RU,2020-07-21 18:12:32,69.38,178.42,45.55,69,97,9.78
129,Hasaki,JP,2020-07-21 18:12:32,35.73,140.83,75.2,94,75,5.82
130,Haines Junction,CA,2020-07-21 18:12:32,60.75,-137.51,50.56,83,100,2.28
131,Letterkenny,IE,2020-07-21 18:12:32,54.95,-7.73,60.8,77,75,3.36
132,Mandapam,IN,2020-07-21 18:12:32,9.28,79.12,82.9,81,100,17.74
133,Scarborough,GB,2020-07-21 18:12:33,54.28,-0.4,59.0,71,69,1.01
134,Xuanhua,CN,2020-07-21 18:12:33,40.61,115.04,70.2,62,0,2.48
135,Coquimbo,CL,2020-07-21 18:07:42,-29.95,-71.34,62.6,59,40,8.05
136,Mahebourg,MU,2020-07-21 18:12:33,-20.41,57.7,69.8,52,75,8.05
137,Taoudenni,ML,2020-07-21 18:12:33,22.68,-3.98,112.93,7,3,19.8
138,Quipapa,BR,2020-07-21 18:12:33,-8.83,-36.01,75.07,61,10,11.72
139,Yaan,NG,2020-07-21 18:12:33,7.38,8.57,75.65,91,32,5.32
140,Puerto Ayora,EC,2020-07-21 18:12:33,-0.74,-90.35,75.2,69,75,11.41
141,Terrak,NO,2020-07-21 18:12:34,65.09,12.37,55.4,71,75,10.29
142,Hajmasker,HU,2020-07-21 18:12:34,47.15,18.02,71.6,73,40,4.7
143,Carnarvon,AU,2020-07-21 18:09:41,-24.87,113.63,59.0,100,0,6.93
144,Kushnarenkovo,RU,2020-07-21 18:12:34,55.1,55.35,73.4,64,75,6.71
145,Portland,US,2020-07-21 18:10:41,45.52,-122.68,78.01,60,20,5.82
146,Ancud,CL,2020-07-21 18:12:34,-41.87,-73.82,51.8,71,100,5.82
147,Kazachinskoye,RU,2020-07-21 18:12:34,57.7,93.28,52.47,93,41,3.58
148,Cherskiy,RU,2020-07-21 18:12:34,68.75,161.3,64.4,45,34,7.87
149,Barrow,US,2020-07-21 18:10:45,71.29,-156.79,33.8,80,90,8.05
150,Jati,PK,2020-07-21 18:12:35,24.35,68.27,86.4,70,92,17.85
151,Nikolskoye,RU,2020-07-21 18:12:35,59.7,30.79,68.0,82,75,4.47
152,Svetlaya,RU,2020-07-21 18:12:35,46.54,138.33,60.55,94,100,8.1
153,Boyuibe,BO,2020-07-21 18:12:35,-20.42,-63.28,86.49,36,100,10.96
154,Touros,BR,2020-07-21 18:12:35,-5.2,-35.46,75.2,88,75,13.87
155,Russell,US,2020-07-21 18:12:35,32.35,-85.2,91.99,55,20,3.71
156,Macklin,CA,2020-07-21 18:12:35,52.33,-109.93,71.51,57,89,7.25
157,Cienfuegos,CU,2020-07-21 18:12:36,22.15,-80.44,78.8,100,100,1.12
158,San Jose,US,2020-07-21 18:12:36,37.34,-121.89,75.0,60,40,4.7
159,Ola,RU,2020-07-21 18:12:36,59.58,151.28,52.95,81,58,2.19
160,Vila,PT,2020-07-21 18:12:36,42.03,-8.16,89.6,46,20,6.93
161,Vetlanda,SE,2020-07-21 18:09:15,57.43,15.08,57.99,67,68,10.29
162,Fairbanks,US,2020-07-21 18:11:32,64.84,-147.72,53.6,93,90,12.75
