City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
141,faanui,PF,77.32,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,bousse,BF,84.2,few clouds,12.66,-1.89,Maison d'hôtes EBEN-EZER DE BOUSSE
144,lasa,IT,64.0,broken clouds,46.62,10.7,Pension Feldgärtenhof
145,bilma,NE,96.24,clear sky,18.69,12.92,Expeditions Ténére voyages
146,brandon,US,91.99,scattered clouds,27.94,-82.29,Embassy Suites by Hilton Tampa Brandon
148,riachao das neves,BR,88.0,broken clouds,-11.75,-44.91,Casa de vó Dina
149,sambava,MG,68.61,clear sky,-14.27,50.17,Melrose
151,laguna,US,77.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
152,rivera,UY,69.28,overcast clouds,-30.91,-55.55,Hotel Emirates
153,miragoane,HT,85.69,clear sky,18.44,-73.09,MMM K-TICHON
154,tiznit,MA,77.2,clear sky,29.58,-9.5,
160,bundaberg,AU,61.0,overcast clouds,-24.85,152.35,Takalvan Motel
162,sungaipenuh,ID,64.92,overcast clouds,-2.08,101.38,Hotel Jaya Wisata 2
164,cascais,PT,86.0,few clouds,38.7,-9.42,Hotel Vila Galé Cascais
165,bambanglipuro,ID,75.38,overcast clouds,-7.95,110.28,Puri Brata
166,nikolskoye,RU,68.0,broken clouds,59.7,30.79,Tourist House - Sablino
168,nabire,ID,75.47,clear sky,-3.37,135.48,Hotel Nusantara Nabire
169,lagoa vermelha,BR,67.24,overcast clouds,-28.21,-51.53,Hotel Kaianã
170,pinczow,PL,66.0,clear sky,50.52,20.53,Hotel Nad Starą Nidą
172,poitiers,FR,82.4,scattered clouds,46.58,0.33,ibis Poitiers Centre
173,bloomfield,US,95.0,broken clouds,40.81,-74.19,Howard Johnson by Wyndham Clifton NJ
176,honiara,SB,71.6,few clouds,-9.43,159.95,Heritage Park Hotel
178,fort nelson,CA,71.6,broken clouds,58.81,-122.7,The Fort Nelson Hotel
180,boa vista,BR,80.6,broken clouds,2.82,-60.67,Aipana Plaza Hotel
183,turbat,PK,84.33,overcast clouds,26.0,63.04,Mubashar Quarters
184,marystown,CA,67.8,few clouds,47.17,-55.15,Marystown Hotel & Convention Centre
185,ashland,US,84.2,clear sky,40.82,-82.27,Holiday Inn Express & Suites Ashland
186,kafue,ZM,64.4,scattered clouds,-15.77,28.18,Purview Lodges Ltd
187,kholm-zhirkovskiy,RU,60.89,overcast clouds,55.52,33.47,Gostinitsa Kholm
189,penzance,GB,62.6,few clouds,50.12,-5.54,Artist Residence Penzance
190,caravelas,BR,75.4,clear sky,-17.71,-39.25,Pousada dos Navegantes
192,dongsheng,CN,68.25,overcast clouds,39.82,109.98,Crowne Plaza Ordos
194,sao jose da coroa grande,BR,77.68,clear sky,-8.9,-35.15,Crôa Mares Hotel
196,mount pleasant,US,96.01,clear sky,32.79,-79.86,Best Western Patriots Point
197,porto novo,BJ,77.0,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
198,palmer,US,89.01,scattered clouds,42.16,-72.33,Wedgewood Motel
199,conde,BR,80.6,scattered clouds,-7.26,-34.91,Pousada Beija Flor
205,hithadhoo,MV,84.25,overcast clouds,-0.6,73.08,Scoop Guest House
207,chokurdakh,RU,69.06,overcast clouds,70.63,147.92,
214,saint-leu,RE,64.4,overcast clouds,-21.15,55.28,La Caz Oceane
215,boca do acre,BR,95.83,scattered clouds,-8.75,-67.4,Hotel Linhares
219,stege,DK,64.0,clear sky,54.99,12.28,Præstekilde Hotel
220,pundaguitan,PH,83.23,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
222,praia da vitoria,PT,77.0,few clouds,38.73,-27.07,Hotel Branco I
223,margate,GB,66.99,clear sky,51.38,1.39,Premier Inn Margate hotel
225,narsaq,GL,68.0,scattered clouds,60.92,-46.05,Hotel Narsaq
226,mongu,ZM,60.76,clear sky,-15.25,23.13,Country Lodge Mongu
227,shingu,JP,74.62,clear sky,33.73,135.98,Shingu UI Hotel
229,itarema,BR,83.64,overcast clouds,-2.92,-39.92,Windvillage
231,kavieng,PG,81.88,clear sky,-2.57,150.8,Nusa Island Retreat
233,kruisfontein,ZA,62.56,clear sky,-34.0,24.73,Oyster Bay House Rental
235,labuhan,ID,77.58,scattered clouds,-6.88,112.21,bador sepret
236,leua,SK,75.99,few clouds,48.22,18.61,Business Hotel ASTRUM Laus
237,bourail,NC,61.59,few clouds,-21.57,165.48,Nekweta
239,bereda,ES,63.0,scattered clouds,43.27,-7.54,Pazo de Verdes
240,abhar,IR,73.04,clear sky,36.15,49.22,Hotel Got7
241,hirara,JP,84.16,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
245,tervel,BG,82.99,scattered clouds,43.75,27.4,Хотели Тервел - Хотел Алгара
246,tomatlan,MX,93.07,clear sky,19.93,-105.25,Norma franco
247,doembang nangbuat,TH,82.99,overcast clouds,14.83,100.1,ธารระริน วิลล่า
248,camacha,PT,71.6,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
249,bulungu,CD,80.55,clear sky,-4.55,18.6,
251,dauphin,CA,69.8,scattered clouds,51.15,-100.05,Canway Inn & Suites
252,wilmington,US,95.0,scattered clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
253,pisco,PE,66.0,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
254,bilibino,RU,64.94,overcast clouds,68.05,166.44,Gostinitsa Severyanka
256,puerto escondido,MX,87.8,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
257,uige,AO,67.64,clear sky,-7.61,15.06,Juliao Pereira
261,havelock,US,93.2,few clouds,34.88,-76.9,Sherwood Motel
263,siena,IT,88.0,clear sky,43.22,11.4,More Di Cuna
264,souillac,MU,69.8,broken clouds,-20.52,57.52,Bils' Villa
266,uray,RU,60.31,clear sky,60.12,64.78,Hotel Pioner
267,murgab,TM,95.0,clear sky,37.5,61.97,
268,dawson creek,CA,64.4,broken clouds,55.77,-120.24,Peace Villa Motel
269,sao filipe,CV,78.04,overcast clouds,14.9,-24.5,Tortuga B&B
270,agadez,NE,90.36,clear sky,19.75,10.25,
271,kholmogory,RU,68.0,few clouds,64.22,41.66,Khostel Strannik
