City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
159,kutum,SD,14.2,24.67,81.5,43,96,11.63,light rain,0.13,0
160,bundaberg,AU,-24.85,152.35,61.0,67,90,8.05,overcast clouds,0.0,0
161,larsnes,NO,62.2,5.58,50.0,81,75,13.87,shower rain,0.0,0
162,sungaipenuh,ID,-2.08,101.38,64.92,94,87,2.86,overcast clouds,0.0,0
163,bluff,NZ,-46.6,168.33,39.0,83,99,3.0,overcast clouds,0.0,0
164,cascais,PT,38.7,-9.42,86.0,45,20,8.05,few clouds,0.0,0
165,bambanglipuro,ID,-7.95,110.28,75.38,88,95,6.2,overcast clouds,0.0,0
166,nikolskoye,RU,59.7,30.79,68.0,77,75,6.71,broken clouds,0.0,0
167,carnarvon,AU,-24.87,113.63,57.2,100,0,8.05,clear sky,0.0,0
168,nabire,ID,-3.37,135.48,75.47,87,9,4.32,clear sky,0.0,0
169,lagoa vermelha,BR,-28.21,-51.53,67.24,80,100,4.32,overcast clouds,0.0,0
170,pinczow,PL,50.52,20.53,66.0,1,0,5.03,clear sky,0.0,0
171,uyuni,BO,-20.46,-66.83,59.09,26,48,9.89,scattered clouds,0.0,0
172,poitiers,FR,46.58,0.33,82.4,37,41,13.87,scattered clouds,0.0,0
173,bloomfield,US,40.81,-74.19,95.0,38,75,4.7,broken clouds,0.0,0
174,qaanaaq,GL,77.48,-69.36,48.67,54,0,3.02,clear sky,0.0,0
175,kidal,ML,18.44,1.41,88.65,36,100,17.6,light rain,0.37,0
176,honiara,SB,-9.43,159.95,71.6,94,20,4.43,few clouds,0.0,0
177,el jicaro,GT,14.92,-89.9,90.0,55,69,2.77,light rain,0.7,0
178,fort nelson,CA,58.81,-122.7,71.6,53,75,8.05,broken clouds,0.0,0
179,saskylakh,RU,71.92,114.08,48.09,79,100,13.91,overcast clouds,0.0,0
180,boa vista,BR,2.82,-60.67,80.6,74,75,5.82,broken clouds,0.0,0
181,khatanga,RU,71.97,102.5,52.36,70,5,9.78,clear sky,0.0,0
182,lachi,PK,33.38,71.34,82.24,56,35,4.54,light rain,0.6,0
183,turbat,PK,26.0,63.04,84.33,69,94,9.64,overcast clouds,0.0,0
184,marystown,CA,47.17,-55.15,67.8,79,18,16.96,few clouds,0.0,0
185,ashland,US,40.82,-82.27,84.2,48,1,5.82,clear sky,0.0,0
186,kafue,ZM,-15.77,28.18,64.4,45,41,6.93,scattered clouds,0.0,0
187,kholm-zhirkovskiy,RU,55.52,33.47,60.89,92,100,6.67,overcast clouds,0.0,0
188,ilulissat,GL,69.22,-51.1,53.6,54,75,6.93,broken clouds,0.0,0
